test2.
Service Registrar: c80e567e-4c46-4a64-8478-22184e4bcd5c
Java Space found.
TransactionManager found.
-------------------------last log tuples start--------------------------------
Time [clock=1, time=2013-06-13 12:25:51.333]
Time [clock=2, time=2013-06-13 12:25:51.833]
Time [clock=3, time=2013-06-13 12:25:52.832]
Time [clock=4, time=2013-06-13 12:25:53.835]
Time [clock=5, time=2013-06-13 12:25:54.835]
Time [clock=6, time=2013-06-13 12:25:55.836]
Time [clock=7, time=2013-06-13 12:25:56.835]
Time [clock=8, time=2013-06-13 12:25:57.837]
Points [agent=a1, time=2013-06-13 12:25:51.152, clock=0, value=1000, id=null]
Time [clock=9, time=2013-06-13 12:25:58.839]
Time [clock=10, time=2013-06-13 12:25:59.84]
Time [clock=11, time=2013-06-13 12:26:00.849]
Time [clock=12, time=2013-06-13 12:26:01.844]
Time [clock=13, time=2013-06-13 12:26:02.844]
Time [clock=14, time=2013-06-13 12:26:03.844]
Time [clock=15, time=2013-06-13 12:26:04.844]
Time [clock=16, time=2013-06-13 12:26:05.848]
Time [clock=17, time=2013-06-13 12:26:06.886]
Time [clock=18, time=2013-06-13 12:26:07.849]
Time [clock=19, time=2013-06-13 12:26:08.85]
Time [clock=20, time=2013-06-13 12:26:09.851]
Time [clock=21, time=2013-06-13 12:26:10.852]
Time [clock=22, time=2013-06-13 12:26:11.849]
Time [clock=23, time=2013-06-13 12:26:12.849]
Time [clock=24, time=2013-06-13 12:26:13.852]
Time [clock=25, time=2013-06-13 12:26:14.853]
Time [clock=26, time=2013-06-13 12:26:15.855]
Time [clock=27, time=2013-06-13 12:26:16.856]
Time [clock=28, time=2013-06-13 12:26:17.857]
Time [clock=29, time=2013-06-13 12:26:18.859]
Time [clock=30, time=2013-06-13 12:26:19.858]
Time [clock=31, time=2013-06-13 12:26:20.859]
Time [clock=32, time=2013-06-13 12:26:21.86]
Time [clock=33, time=2013-06-13 12:26:22.861]
Time [clock=34, time=2013-06-13 12:26:23.901]
Time [clock=35, time=2013-06-13 12:26:24.866]
Time [clock=36, time=2013-06-13 12:26:25.866]
Time [clock=37, time=2013-06-13 12:26:26.864]
Time [clock=38, time=2013-06-13 12:26:27.866]
Time [clock=39, time=2013-06-13 12:26:28.868]
Time [clock=40, time=2013-06-13 12:26:29.869]
Time [clock=41, time=2013-06-13 12:26:30.868]
Time [clock=42, time=2013-06-13 12:26:31.871]
Time [clock=43, time=2013-06-13 12:26:32.871]
Time [clock=44, time=2013-06-13 12:26:33.872]
Time [clock=45, time=2013-06-13 12:26:34.872]
Time [clock=46, time=2013-06-13 12:26:35.873]
Time [clock=47, time=2013-06-13 12:26:36.874]
Time [clock=48, time=2013-06-13 12:26:37.877]
Points [agent=a2, time=2013-06-13 12:25:51.167, clock=0, value=1000, id=null]
Time [clock=49, time=2013-06-13 12:26:38.878]
Time [clock=50, time=2013-06-13 12:26:39.876]
Time [clock=51, time=2013-06-13 12:26:40.877]
Time [clock=52, time=2013-06-13 12:26:41.918]
