test2.
Service Registrar: c80e567e-4c46-4a64-8478-22184e4bcd5c
Java Space found.
TransactionManager found.
-------------------------last log tuples start--------------------------------
Position [agent=a1, id=null, cell=Cell [x=3, y=4], time=2013-06-13 12:30:20.938, clock=270]
Time [clock=267, time=2013-06-13 12:30:17.06]
Time [clock=268, time=2013-06-13 12:30:18.07]
Time [clock=269, time=2013-06-13 12:30:19.07]
Time [clock=270, time=2013-06-13 12:30:20.072]
Time [clock=271, time=2013-06-13 12:30:21.075]
Position [agent=a2, id=null, cell=Cell [x=7, y=19], time=2013-06-13 12:30:21.534, clock=271]
Time [clock=272, time=2013-06-13 12:30:22.075]
Position [agent=a3, id=null, cell=Cell [x=11, y=2], time=2013-06-13 12:30:21.817, clock=271]
Time [clock=273, time=2013-06-13 12:30:23.075]
Time [clock=274, time=2013-06-13 12:30:24.077]
Position [agent=a1, id=null, cell=Cell [x=3, y=5], time=2013-06-13 12:30:22.025, clock=271]
Time [clock=275, time=2013-06-13 12:30:25.076]
Time [clock=276, time=2013-06-13 12:30:26.079]
Position [agent=a3, id=null, cell=Cell [x=11, y=3], time=2013-06-13 12:30:22.457, clock=272]
Time [clock=277, time=2013-06-13 12:30:27.08]
Time [clock=278, time=2013-06-13 12:30:28.082]
Time [clock=279, time=2013-06-13 12:30:29.083]
Time [clock=280, time=2013-06-13 12:30:30.082]
Time [clock=281, time=2013-06-13 12:30:31.084]
Time [clock=282, time=2013-06-13 12:30:32.084]
Time [clock=283, time=2013-06-13 12:30:33.085]
Time [clock=284, time=2013-06-13 12:30:34.126]
Time [clock=285, time=2013-06-13 12:30:35.087]
Time [clock=286, time=2013-06-13 12:30:36.089]
Time [clock=287, time=2013-06-13 12:30:37.101]
Time [clock=288, time=2013-06-13 12:30:38.096]
Time [clock=289, time=2013-06-13 12:30:39.097]
Time [clock=290, time=2013-06-13 12:30:40.097]
Time [clock=291, time=2013-06-13 12:30:41.099]
Time [clock=292, time=2013-06-13 12:30:42.137]
Time [clock=293, time=2013-06-13 12:30:43.102]
Time [clock=294, time=2013-06-13 12:30:44.1]
Time [clock=295, time=2013-06-13 12:30:45.1]
Time [clock=296, time=2013-06-13 12:30:46.101]
Time [clock=297, time=2013-06-13 12:30:47.103]
Time [clock=298, time=2013-06-13 12:30:48.104]
Position [agent=a2, id=null, cell=Cell [x=6, y=19], time=2013-06-13 12:30:22.654, clock=272]
Time [clock=299, time=2013-06-13 12:30:49.103]
Time [clock=300, time=2013-06-13 12:30:50.105]
Time [clock=301, time=2013-06-13 12:30:51.106]
Time [clock=302, time=2013-06-13 12:30:52.105]
Time [clock=303, time=2013-06-13 12:30:53.106]
Time [clock=304, time=2013-06-13 12:30:54.108]
Time [clock=305, time=2013-06-13 12:30:55.108]
Time [clock=306, time=2013-06-13 12:30:56.108]
Time [clock=307, time=2013-06-13 12:30:57.11]
Time [clock=308, time=2013-06-13 12:30:58.153]
Time [clock=309, time=2013-06-13 12:30:59.114]
Time [clock=310, time=2013-06-13 12:31:00.112]
Time [clock=311, time=2013-06-13 12:31:01.114]
Time [clock=312, time=2013-06-13 12:31:02.114]
Time [clock=313, time=2013-06-13 12:31:03.116]
Time [clock=314, time=2013-06-13 12:31:04.116]
Time [clock=315, time=2013-06-13 12:31:05.119]
Time [clock=316, time=2013-06-13 12:31:06.12]
Time [clock=317, time=2013-06-13 12:31:07.119]
Time [clock=318, time=2013-06-13 12:31:08.12]
Time [clock=319, time=2013-06-13 12:31:09.122]
Time [clock=320, time=2013-06-13 12:31:10.121]
Position [agent=a1, id=null, cell=Cell [x=4, y=5], time=2013-06-13 12:30:22.912, clock=272]
Time [clock=321, time=2013-06-13 12:31:11.122]
Time [clock=322, time=2013-06-13 12:31:12.123]
Time [clock=323, time=2013-06-13 12:31:13.124]
Time [clock=324, time=2013-06-13 12:31:14.167]
Time [clock=325, time=2013-06-13 12:31:15.126]
Time [clock=326, time=2013-06-13 12:31:16.126]
Time [clock=327, time=2013-06-13 12:31:17.127]
Position [agent=a2, id=null, cell=Cell [x=5, y=19], time=2013-06-13 12:30:23.428, clock=273]
Time [clock=328, time=2013-06-13 12:31:18.127]
Time [clock=329, time=2013-06-13 12:31:19.129]
Time [clock=330, time=2013-06-13 12:31:20.129]
Time [clock=331, time=2013-06-13 12:31:21.129]
Time [clock=332, time=2013-06-13 12:31:22.13]
Time [clock=333, time=2013-06-13 12:31:23.133]
Time [clock=334, time=2013-06-13 12:31:24.132]
Position [agent=a3, id=null, cell=Cell [x=11, y=4], time=2013-06-13 12:30:23.711, clock=273]
Time [clock=335, time=2013-06-13 12:31:25.132]
Time [clock=336, time=2013-06-13 12:31:26.133]
Time [clock=337, time=2013-06-13 12:31:27.133]
Time [clock=338, time=2013-06-13 12:31:28.134]
Time [clock=339, time=2013-06-13 12:31:29.135]
Time [clock=340, time=2013-06-13 12:31:30.179]
Time [clock=341, time=2013-06-13 12:31:31.137]
Time [clock=342, time=2013-06-13 12:31:32.138]
Time [clock=343, time=2013-06-13 12:31:33.139]
Time [clock=344, time=2013-06-13 12:31:34.14]
Position [agent=a1, id=null, cell=Cell [x=5, y=5], time=2013-06-13 12:30:23.966, clock=273]
Time [clock=345, time=2013-06-13 12:31:35.14]
Time [clock=346, time=2013-06-13 12:31:36.141]
Time [clock=347, time=2013-06-13 12:31:37.143]
Time [clock=348, time=2013-06-13 12:31:38.144]
Time [clock=349, time=2013-06-13 12:31:39.145]
Position [agent=a3, id=null, cell=Cell [x=11, y=5], time=2013-06-13 12:30:24.461, clock=274]
Time [clock=350, time=2013-06-13 12:31:40.145]
Time [clock=351, time=2013-06-13 12:31:41.147]
Time [clock=352, time=2013-06-13 12:31:42.148]
Time [clock=353, time=2013-06-13 12:31:43.148]
Time [clock=354, time=2013-06-13 12:31:44.149]
Time [clock=355, time=2013-06-13 12:31:45.191]
Time [clock=356, time=2013-06-13 12:31:46.154]
Time [clock=357, time=2013-06-13 12:31:47.152]
Time [clock=358, time=2013-06-13 12:31:48.154]
Time [clock=359, time=2013-06-13 12:31:49.155]
Time [clock=360, time=2013-06-13 12:31:50.156]
Time [clock=361, time=2013-06-13 12:31:51.157]
Position [agent=a2, id=null, cell=Cell [x=4, y=19], time=2013-06-13 12:30:24.679, clock=274]
Time [clock=362, time=2013-06-13 12:31:52.159]
Time [clock=363, time=2013-06-13 12:31:53.159]
Position [agent=a3, id=null, cell=Cell [x=11, y=6], time=2013-06-13 12:30:25.441, clock=275]
Time [clock=364, time=2013-06-13 12:31:54.16]
Time [clock=365, time=2013-06-13 12:31:55.161]
Time [clock=366, time=2013-06-13 12:31:56.16]
Time [clock=367, time=2013-06-13 12:31:57.162]
Time [clock=368, time=2013-06-13 12:31:58.164]
