test2.
Service Registrar: 052cc499-efa3-4995-a9c4-d29ebfc01764
Java Space found.
TransactionManager found.
-------------------------last log tuples start--------------------------------
Time [clock=226, time=2013-06-11 11:36:17.146]
Time [clock=355, time=2013-06-11 11:36:17.499]
Time [clock=227, time=2013-06-11 11:36:18.148]
Time [clock=356, time=2013-06-11 11:36:18.54]
Time [clock=228, time=2013-06-11 11:36:19.149]
Position [agent=a1, id=null, cell=Cell [x=3, y=4], time=2013-06-11 11:36:24.406, clock=3]
Time [clock=357, time=2013-06-11 11:36:19.5]
Time [clock=229, time=2013-06-11 11:36:20.149]
Time [clock=358, time=2013-06-11 11:36:20.501]
Time [clock=230, time=2013-06-11 11:36:21.149]
Time [clock=359, time=2013-06-11 11:36:21.503]
Time [clock=1, time=2013-06-11 11:36:21.985]
Time [clock=231, time=2013-06-11 11:36:22.151]
Time [clock=360, time=2013-06-11 11:36:22.542]
Time [clock=2, time=2013-06-11 11:36:22.58]
Time [clock=232, time=2013-06-11 11:36:23.153]
Time [clock=361, time=2013-06-11 11:36:23.504]
Time [clock=3, time=2013-06-11 11:36:23.58]
Time [clock=233, time=2013-06-11 11:36:24.158]
Position [agent=t1, id=null, cell=Cell [x=18, y=19], time=2013-06-11 11:36:24.972, clock=4]
Time [clock=362, time=2013-06-11 11:36:24.51]
Time [clock=4, time=2013-06-11 11:36:24.581]
Position [agent=a1, id=null, cell=Cell [x=3, y=5], time=2013-06-11 11:36:26.861, clock=5]
Time [clock=234, time=2013-06-11 11:36:25.155]
Time [clock=363, time=2013-06-11 11:36:25.508]
Time [clock=5, time=2013-06-11 11:36:25.582]
Time [clock=235, time=2013-06-11 11:36:26.159]
Time [clock=364, time=2013-06-11 11:36:26.519]
Time [clock=6, time=2013-06-11 11:36:26.595]
Time [clock=236, time=2013-06-11 11:36:27.156]
Time [clock=365, time=2013-06-11 11:36:27.549]
tuplespace.ActionRequest@1b186cf9
Time [clock=7, time=2013-06-11 11:36:27.587]
Time [clock=237, time=2013-06-11 11:36:28.156]
Time [clock=366, time=2013-06-11 11:36:28.509]
Time [clock=8, time=2013-06-11 11:36:28.585]
Time [clock=238, time=2013-06-11 11:36:29.157]
Time [clock=367, time=2013-06-11 11:36:29.515]
Time [clock=9, time=2013-06-11 11:36:29.586]
Time [clock=239, time=2013-06-11 11:36:30.156]
Time [clock=368, time=2013-06-11 11:36:30.511]
Time [clock=10, time=2013-06-11 11:36:30.587]
Time [clock=240, time=2013-06-11 11:36:31.157]
Time [clock=369, time=2013-06-11 11:36:31.512]
Time [clock=11, time=2013-06-11 11:36:31.589]
Time [clock=241, time=2013-06-11 11:36:32.159]
Time [clock=370, time=2013-06-11 11:36:32.513]
Time [clock=12, time=2013-06-11 11:36:32.588]
Time [clock=242, time=2013-06-11 11:36:33.2]
Time [clock=371, time=2013-06-11 11:36:33.514]
Time [clock=13, time=2013-06-11 11:36:33.591]
Time [clock=243, time=2013-06-11 11:36:34.16]
Time [clock=372, time=2013-06-11 11:36:34.513]
Time [clock=14, time=2013-06-11 11:36:34.592]
Time [clock=244, time=2013-06-11 11:36:35.161]
Time [clock=373, time=2013-06-11 11:36:35.515]
Time [clock=15, time=2013-06-11 11:36:35.593]
Prohibition [agent=t1, prohibition=[at(5, 5, t1)], sanction=[reduce_300(t1)], clock=0, time=2013-06-11 11:36:28.63]
Time [clock=245, time=2013-06-11 11:36:36.163]
Time [clock=374, time=2013-06-11 11:36:36.515]
Time [clock=16, time=2013-06-11 11:36:36.592]
Time [clock=246, time=2013-06-11 11:36:37.163]
Time [clock=375, time=2013-06-11 11:36:37.516]
Time [clock=17, time=2013-06-11 11:36:37.592]
Time [clock=247, time=2013-06-11 11:36:38.165]
Time [clock=376, time=2013-06-11 11:36:38.517]
Time [clock=18, time=2013-06-11 11:36:38.634]
Time [clock=248, time=2013-06-11 11:36:39.165]
Time [clock=377, time=2013-06-11 11:36:39.518]
Time [clock=19, time=2013-06-11 11:36:39.595]
Time [clock=249, time=2013-06-11 11:36:40.167]
Time [clock=378, time=2013-06-11 11:36:40.518]
Time [clock=20, time=2013-06-11 11:36:40.594]
Time [clock=250, time=2013-06-11 11:36:41.167]
Time [clock=379, time=2013-06-11 11:36:41.52]
Time [clock=21, time=2013-06-11 11:36:41.596]
Time [clock=251, time=2013-06-11 11:36:42.168]
Time [clock=380, time=2013-06-11 11:36:42.521]
Time [clock=22, time=2013-06-11 11:36:42.597]
Time [clock=252, time=2013-06-11 11:36:43.17]
Time [clock=381, time=2013-06-11 11:36:43.522]
Time [clock=23, time=2013-06-11 11:36:43.598]
Time [clock=253, time=2013-06-11 11:36:44.168]
Time [clock=382, time=2013-06-11 11:36:44.563]
Time [clock=24, time=2013-06-11 11:36:44.598]
Time [clock=254, time=2013-06-11 11:36:45.169]
Time [clock=383, time=2013-06-11 11:36:45.525]
Time [clock=25, time=2013-06-11 11:36:45.6]
Time [clock=255, time=2013-06-11 11:36:46.169]
Time [clock=384, time=2013-06-11 11:36:46.526]
Time [clock=26, time=2013-06-11 11:36:46.6]
Time [clock=256, time=2013-06-11 11:36:47.17]
Time [clock=385, time=2013-06-11 11:36:47.527]
tuplespace.ActionRequest@47a5f7d3
Time [clock=27, time=2013-06-11 11:36:47.599]
Time [clock=257, time=2013-06-11 11:36:48.171]
Time [clock=386, time=2013-06-11 11:36:48.528]
Prohibition [agent=t1, prohibition=[at(5, 6, t1)], sanction=[reduce_300(t1)], clock=0, time=2013-06-11 11:36:28.631]
Cargo [id=null, cell=Cell [x=19, y=19], time=2013-06-11 11:36:24.869, clock=3]
Time [clock=28, time=2013-06-11 11:36:48.6]
Time [clock=258, time=2013-06-11 11:36:49.172]
Time [clock=387, time=2013-06-11 11:36:49.529]
Time [clock=29, time=2013-06-11 11:36:49.602]
Time [clock=259, time=2013-06-11 11:36:50.214]
Time [clock=388, time=2013-06-11 11:36:50.529]
Time [clock=30, time=2013-06-11 11:36:50.602]
Time [clock=260, time=2013-06-11 11:36:51.174]
Time [clock=389, time=2013-06-11 11:36:51.53]
Time [clock=31, time=2013-06-11 11:36:51.602]
Time [clock=261, time=2013-06-11 11:36:52.175]
Time [clock=390, time=2013-06-11 11:36:52.53]
Time [clock=32, time=2013-06-11 11:36:52.605]
Time [clock=262, time=2013-06-11 11:36:53.174]
Time [clock=391, time=2013-06-11 11:36:53.531]
Time [clock=33, time=2013-06-11 11:36:53.605]
Time [clock=263, time=2013-06-11 11:36:54.176]
Time [clock=392, time=2013-06-11 11:36:54.533]
Time [clock=34, time=2013-06-11 11:36:54.604]
Time [clock=264, time=2013-06-11 11:36:55.177]
Time [clock=393, time=2013-06-11 11:36:55.533]
Time [clock=35, time=2013-06-11 11:36:55.646]
Time [clock=265, time=2013-06-11 11:36:56.178]
Time [clock=394, time=2013-06-11 11:36:56.535]
Time [clock=36, time=2013-06-11 11:36:56.606]
Time [clock=266, time=2013-06-11 11:36:57.178]
Time [clock=395, time=2013-06-11 11:36:57.535]
Time [clock=37, time=2013-06-11 11:36:57.607]
Time [clock=267, time=2013-06-11 11:36:58.179]
Time [clock=396, time=2013-06-11 11:36:58.536]
Time [clock=38, time=2013-06-11 11:36:58.61]
Time [clock=268, time=2013-06-11 11:36:59.18]
Time [clock=397, time=2013-06-11 11:36:59.538]
Time [clock=39, time=2013-06-11 11:36:59.609]
Time [clock=269, time=2013-06-11 11:37:00.181]
Time [clock=398, time=2013-06-11 11:37:00.538]
Time [clock=40, time=2013-06-11 11:37:00.61]
Time [clock=270, time=2013-06-11 11:37:01.221]
Time [clock=399, time=2013-06-11 11:37:01.541]
Time [clock=41, time=2013-06-11 11:37:01.612]
Time [clock=271, time=2013-06-11 11:37:02.182]
Time [clock=400, time=2013-06-11 11:37:02.539]
Time [clock=42, time=2013-06-11 11:37:02.612]
Time [clock=272, time=2013-06-11 11:37:03.183]
Time [clock=401, time=2013-06-11 11:37:03.541]
Time [clock=43, time=2013-06-11 11:37:03.612]
Time [clock=273, time=2013-06-11 11:37:04.184]
Prohibition [agent=t1, prohibition=[at(6, 5, t1)], sanction=[reduce_300(t1)], clock=0, time=2013-06-11 11:36:28.633]
Time [clock=402, time=2013-06-11 11:37:04.542]
Time [clock=44, time=2013-06-11 11:37:04.613]
Time [clock=274, time=2013-06-11 11:37:05.184]
Prohibition [agent=t1, prohibition=[at(6, 6, t1)], sanction=[reduce_300(t1)], clock=0, time=2013-06-11 11:36:28.634]
Time [clock=403, time=2013-06-11 11:37:05.543]
Time [clock=45, time=2013-06-11 11:37:05.617]
Time [clock=275, time=2013-06-11 11:37:06.187]
Time [clock=404, time=2013-06-11 11:37:06.544]
Time [clock=46, time=2013-06-11 11:37:06.656]
Time [clock=276, time=2013-06-11 11:37:07.189]
Time [clock=405, time=2013-06-11 11:37:07.544]
Time [clock=47, time=2013-06-11 11:37:07.617]
Time [clock=277, time=2013-06-11 11:37:08.188]
Time [clock=406, time=2013-06-11 11:37:08.544]
Time [clock=48, time=2013-06-11 11:37:08.617]
Time [clock=278, time=2013-06-11 11:37:09.189]
Time [clock=407, time=2013-06-11 11:37:09.545]
Time [clock=49, time=2013-06-11 11:37:09.619]
Time [clock=279, time=2013-06-11 11:37:10.19]
Time [clock=408, time=2013-06-11 11:37:10.545]
Time [clock=50, time=2013-06-11 11:37:10.621]
Time [clock=280, time=2013-06-11 11:37:11.191]
Time [clock=409, time=2013-06-11 11:37:11.547]
Time [clock=51, time=2013-06-11 11:37:11.62]
Time [clock=281, time=2013-06-11 11:37:12.193]
Time [clock=410, time=2013-06-11 11:37:12.587]
Time [clock=52, time=2013-06-11 11:37:12.625]
Time [clock=282, time=2013-06-11 11:37:13.194]
Time [clock=411, time=2013-06-11 11:37:13.547]
Time [clock=53, time=2013-06-11 11:37:13.621]
Time [clock=283, time=2013-06-11 11:37:14.193]
Time [clock=412, time=2013-06-11 11:37:14.549]
Time [clock=54, time=2013-06-11 11:37:14.623]
Time [clock=284, time=2013-06-11 11:37:15.192]
Time [clock=413, time=2013-06-11 11:37:15.549]
Time [clock=55, time=2013-06-11 11:37:15.623]
Time [clock=285, time=2013-06-11 11:37:16.193]
Prohibition [agent=c1, prohibition=[coin(5, 5, a1)], sanction=[reduce_300(c1)], clock=0, time=2013-06-11 11:36:28.84]
Time [clock=414, time=2013-06-11 11:37:16.55]
Time [clock=56, time=2013-06-11 11:37:16.626]
Time [clock=286, time=2013-06-11 11:37:17.196]
Time [clock=415, time=2013-06-11 11:37:17.55]
Time [clock=57, time=2013-06-11 11:37:17.628]
Time [clock=287, time=2013-06-11 11:37:18.235]
Time [clock=416, time=2013-06-11 11:37:18.552]
Time [clock=58, time=2013-06-11 11:37:18.627]
Time [clock=288, time=2013-06-11 11:37:19.196]
Time [clock=417, time=2013-06-11 11:37:19.551]
Time [clock=59, time=2013-06-11 11:37:19.628]
Time [clock=289, time=2013-06-11 11:37:20.195]
Time [clock=418, time=2013-06-11 11:37:20.552]
Time [clock=60, time=2013-06-11 11:37:20.628]
Time [clock=290, time=2013-06-11 11:37:21.197]
Time [clock=419, time=2013-06-11 11:37:21.553]
Time [clock=61, time=2013-06-11 11:37:21.63]
Time [clock=291, time=2013-06-11 11:37:22.196]
Time [clock=420, time=2013-06-11 11:37:22.553]
Time [clock=62, time=2013-06-11 11:37:22.63]
Time [clock=292, time=2013-06-11 11:37:23.199]
Time [clock=421, time=2013-06-11 11:37:23.554]
Time [clock=63, time=2013-06-11 11:37:23.673]
